"","x"
"1",0
"2",0
"3",0
"4",-0.11202
"5",-0.1239
"6",-0.11255
"7",-0.079046
"8",-0.027554
"9",0.040437
"10",0.12685
"11",0.23335
"12",0.35887
"13",0.50117
"14",0.65937
"15",0.83363
"16",1.023
"17",1.225
"18",1.4363
"19",1.6538
"20",1.8728
"21",2.0856
"22",2.2811
"23",2.4466
"24",2.5697
"25",2.6392
"26",2.6452
"27",2.5802
"28",2.4409
"29",2.2312
"30",1.9626
"31",1.6526
"32",1.3201
"33",0.98047
"34",0.64442
"35",0.31907
"36",0.010437
"37",-0.27608
"38",-0.53744
"39",-0.7744
"40",-0.98994
"41",-1.1857
"42",-1.36
"43",-1.5085
"44",-1.628
"45",-1.7188
"46",-1.7847
"47",-1.8317
"48",-1.8648
"49",-1.887
"50",-1.8996
"51",-1.9028
"52",-1.896
"53",-1.8785
"54",-1.8498
"55",-1.8105
"56",-1.7615
"57",-1.7037
"58",-1.6371
"59",-1.5604
"60",-1.4719
"61",-1.3701
"62",-1.2544
"63",-1.1253
"64",-0.98364
"65",-0.83083
"66",-0.67026
"67",-0.50716
"68",-0.34714
"69",-0.19381
"70",-0.047455
"71",0.093993
"72",0.23262
"73",0.36935
"74",0.50459
"75",0.63879
"76",0.77186
"77",0.903
"78",1.0317
"79",1.159
"80",1.2877
"81",1.4207
"82",1.5602
"83",1.7058
"84",1.8553
"85",2.0053
"86",2.1518
"87",2.2907
"88",2.418
"89",2.5298
"90",2.6231
"91",2.695
"92",2.7415
"93",2.7569
"94",2.733
"95",2.6613
"96",2.5357
"97",2.355
"98",2.1245
"99",1.855
"100",1.5628
"101",1.2661
"102",0.98293
"103",0.72796
"104",0.51064
"105",0.33544
"106",0.20297
"107",0.1107
"108",0.052753
"109",0.019831
"110",0.00041618
"111",-0.016917
"112",-0.041002
"113",-0.075896
"114",-0.1199
"115",-0.16661
"116",-0.20751
"117",-0.2348
"118",-0.2447
"119",-0.23969
"120",-0.22725
"121",-0.21507
"122",-0.20707
"123",-0.20318
"124",-0.20175
"125",-0.20134
"126",-0.20125
"127",-0.20123
"128",-0.20123
"129",-0.20123
"130",-0.20122
"131",-0.2012
"132",-0.20109
"133",-0.20053
"134",-0.19847
"135",-0.19253
"136",-0.17901
"137",-0.15467
"138",-0.12007
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
